,name,username,label,category,post_activity,fan_count,talking_about_count,users_can_post
612,1.61E+14,pancakesatuva,Pancakes for Parkinson's,Community,0.01,2078,162,yes
631,2.44E+14,parkinsonshumor,Parkinson's Humor,Community,0.09,2867,171,yes
630,2.12E+14,ParkinsonsWA,Parkinson's Western Australia,Medical & Health,0.05,2130,176,yes
613,1.21E+14,parkinsonswomensupport,Parkinson's Women Support,Community Organization,0.02,3010,63,yes
462,1.16E+14,pastor.paul.chappell,Paul Chappell,Public Figure,0.17,22548,1472,no
966,1.88E+11,patrickgoudeaufitness,PATRICK GOUDEAU FITNESS,Public Figure,0,2783,2,yes
762,3.21E+14,PatrickPeterson21,Patrick Peterson,Athlete,0.04,216852,321,yes
164,49824215862,paugasol,Pau Gasol,Athlete,0.03,4504694,3294,yes
711,2.71E+14,PAULA2.15.25,Restore Paula Radcliffe's Marathon World Record,Cause,0,2538,0,yes
682,6.56E+14,PaulCaseyOfficial,Paul Casey,Athlete,0,16791,17,no
238,1.83E+11,PaulMcCartney,Paul McCartney,Musician/Band,0.1,6984549,86066,yes
1019,1.77E+15,PaulMillsapOfficial,Paul Millsap,Athlete,0,200045,27,yes
1120,48886437524,paulpierce,Paul Pierce,Athlete,0.02,3603013,4032,no
773,1.65E+14,pearlandoilerfootball,Pearland Oilers,School Sports Team,0.01,5087,13,no
939,3.08E+14,Pedro11Oficial,Pedro,Athlete,0.01,5372487,5014,no
733,2.09E+14,pedroscooby,Pedro Scooby,Athlete,0,427769,2030,yes
306,1.72E+14,Pepe,Pepe,Athlete,0.02,11002671,13278,no
132,56381779049,PepsiUS,Pepsi,Product/Service,0.03,38048233,3601,yes
379,1.01E+15,PerformInspired,Performance Inspired,Health/Beauty,0.08,32486,757,yes
976,3.24E+14,PerriShakesDrayton,Perri Shakes-Drayton,Athlete,0,22586,7,no
426,49600122321,PGAcom,PGA.com,Website,0.16,458747,42163,yes
411,3.71E+14,PGAjrLeague,PGA Jr. League,Sports League,0.07,11970,174,yes
435,10643196329,PGATour,PGA TOUR,Sports League,1,2074039,1328300,yes
770,1.84E+11,PGHSportingNews,Pittsburgh Sporting News,Media/News Company,0,97384,31,yes
749,1.20E+14,philadelphiaeagles,Philadelphia Eagles,Sports Team,0.89,3252797,157737,no
913,1.55E+11,PierreGarcon,Pierre Garçon,Athlete,0.01,382353,391,yes
838,52370832502,PittsburghPanthers,Pitt Panthers,Interest,0.16,172569,2057,no
767,1.57E+11,PlantPanthers,Plant Panthers Football Team,School Sports Team,0.01,4479,7,yes
539,1.56E+11,PODS,PODS,Product/Service,0.06,121803,8715,yes
302,6.25E+14,PolarisSports,Polaris Sports,Sports & Recreation,0.02,37675,153,no
595,3.39E+14,polarskateco,Polar Skate Co.,Outdoor & Sporting Goods Company,0,66614,93,yes
614,1.21E+14,PollanFamilyTable,Pollan Family Table,Book,0.04,9055,313,yes
143,53855227667,porsche,Porsche,Cars,0.43,11726573,22139,yes
301,6.38E+14,PORTUGAL,Seleções de Portugal,Sports Team,0.11,4230556,19647,no
553,1.16E+14,Powerade,Powerade,Food & Beverage Company,0,5142468,319,yes
552,79970874500,POWERADEION4,Powerade,Food & Beverage Company,0,5142566,202,yes
212,2.21E+14,premierleague,Premier League,Sports League,0.29,41808373,474712,no
651,3.48E+14,PrimitiveApparel,Primitive Apparel,Clothing (Brand),0,73119,38,no
645,1.32E+14,primitiveskate,Primitive Skateboarding,Product/Service,0.01,414328,1907,yes
881,82309735069,PrincetonUniversityAthletics,Princeton University Athletics,Sports Team,0.05,10942,220,yes
21,1.34E+14,prod84,Paul Rodriguez,Athlete,0.01,1995841,2959,yes
472,23394359986,professorlive,Grayson 'Professor' Boucher,Public Figure,0.01,1841749,10862,yes
523,17027909138,progressive,Progressive,Insurance Company,0.33,495849,11704,yes
920,1.40E+11,PSG,PSG - Paris Saint-Germain,Sports Team,0.19,35635956,339499,yes
839,90410823197,PSUFball,Penn State Football,School Sports Team,0.37,698628,35939,no
329,94866617996,PTonesRecords,P'Tones Records,Nonprofit Organization,0,1030,1,yes
837,45646373128,purduesports,Purdue Athletics,School Sports Team,0.17,153558,3887,no
364,3.69E+14,PUREQDL,Pure Café & Juice Bar,Smoothie & Juice Bar,0.02,3661,124,yes
759,1.34E+11,purpleraiders,Mount Union Purple Raiders,School Sports Team,0.29,10993,2216,yes
570,1.17E+14,QLNational,QL National,Golf Course & Country Club,0.02,10930,12,yes
584,1.85E+11,quartersnacks,Quartersnacks,Regional Website,0.02,17605,67,yes
365,3.16E+14,QuintaDoLagoResort,Quinta do Lago,Geographical Place,0.04,36758,876,yes
140,23797290954,QVC,QVC,Retail Company,0.83,2932743,97983,yes
628,21110171646,RaceTrac,RaceTrac,Product/Service,0.04,129168,988,yes
615,76778137323,RachaelRayShow,Rachael Ray Show,TV Show,0.88,1995012,50005,no
643,1.49E+15,RachelMetzBlog,Rachel Metz,Website,0.01,6752,6,yes
276,2.42E+14,Rafa,Rafaella,Public Figure,0.01,820233,828,no
154,1.64E+15,rafanadalacademy,Rafa Nadal Academy,Tennis Court,0.06,138172,3543,yes
262,6.79E+14,rafinhalcantara,Rafinha Alcantara,Athlete,0.01,3017989,7544,no
802,1.17E+14,Raiders,The Oakland Raiders,Sports Team,0.35,3412940,55973,no
574,79102700030,rajonrondo,Rajon Rondo,Athlete,0,4695251,1673,yes
811,1.14E+11,Rams,Los Angeles Rams,Sports Club,0.95,806133,72698,yes
1082,15718736643,randyfoye,Official Randy Foye Page!,Athlete,0,6472,3,yes
443,42463176812,ravizacharias,Ravi Zacharias,Public Figure,0.1,811284,3720,yes
106,1.86E+15,RayAllen,Ray Allen,Athlete,0.01,4882675,1933,no
910,1.86E+11,RayRice,Ray Rice,Athlete,0,655494,214,no
78,2.01E+14,realchadkerley,Chad Kerley,Athlete,0.01,377485,5159,yes
1070,1.98E+11,reallamarodom,Lamar Odom,Athlete,0,1480182,599,no
170,19034719952,RealMadrid,Real Madrid C.F.,Sports Team,0.09,109425487,904634,no
486,1.50E+14,RealMiguelACotto,Miguel Cotto,Athlete,0.05,878907,1615,yes
666,1.88E+14,RealMikeyTaylor,Mikey Taylor,Entrepreneur,0.04,587625,431,yes
708,2.55E+14,Rebelrun,Rebel Run,Sports League,0,1211,0,yes
280,14226545351,RedBull,Red Bull,Media/News Company,0.51,48951633,559384,no
268,1.64E+15,redbullneymarjrsfive,Red Bull Neymar Jr's Five,Sports League,0.03,830454,4744,no
222,7.24E+14,redlanterndigitalmedia,Red Lantern Digital Media,Market Research Consultant,0,629,0,no
332,1.02E+11,redskins,Washington Redskins,Sports Team,0.42,1943912,54949,yes
38,20788456835,Reebok,Reebok,Sportswear Store,0,9132360,1470,no
251,1.22E+11,Replay,Replay,Clothing (Brand),0.02,882146,3566,yes
171,2.11E+11,RFEF,Real Federación Española de Fútbol,Organization,0.14,476132,444,no
829,1.44E+14,RFootballShow,Rutgers Football,School Sports Team,0.01,66063,609,no
537,31443640535,RicesLandscapes,Rice's,Landscape Company,0.02,3098,50,yes
753,1.42E+14,RichardShermanOfficial,Richard Sherman,Athlete,0.07,1897631,11475,yes
88,72595069068,ridebmxmagazine,RIDE bmx,Media/News Company,0.59,1045180,9040,yes
86,1.99E+11,RideUKBMX,Ride UK BMX,Magazine,0.14,833980,10921,yes
199,2.20E+14,RioFerdinandOfficial,Rio Ferdinand,Athlete,0.01,6121379,1799,no
180,1.85E+15,risecycling,Rise Cycle Studio,Gym/Physical Fitness Center,0.04,1145,95,yes
619,1.57E+15,riverBREW,River Brew for Parkinson's Research,Event,0,556,1,yes
933,1.59E+14,rl9official,Robert Lewandowski,Athlete,0.01,9257252,22660,no
224,1.62E+14,RobinvanPersie,Robin van Persie,Athlete,0.01,14635171,16908,no
294,4.08E+14,RocByRonaldo,Ronaldo - ROC Live Life Loud,Electronics,0.01,88569,84,no
455,1.11E+15,rockhillonline,RockHill.Church,Religious Organization,0.02,1226,106,yes
589,3.08E+14,rodrigogerdalpetersen,Rodrigo Petersen,Athlete,0,62717,29,no
237,59088763306,rodstewart,Rod Stewart,Musician/Band,0.03,4279708,52321,no
457,3.73E+11,rodyduterte,Rody Duterte,Politician,0,4338053,4869,no
1081,4.45E+14,RogerMasonJrOfficial,Roger Mason Jr.,Athlete,0,6408,1,yes
567,2.89E+14,rolex,ROLEX,Company,0.01,6853917,99628,no
255,1.41E+15,romacerbr,Romacer,Company,0,4385,12,yes
174,1.43E+14,ronaldinho,Ronaldinho Gaúcho,Athlete,0.03,34699877,56153,no
178,4.25E+14,RonaldKoeman.Official,Ronald Koeman,Coach,0.01,72094,118,no
295,4.40E+14,RonaldoFilm,Ronaldo,Movie,0,456432,1599,yes
1032,1.78E+14,RonnieBrewerJr,Ronnie Brewer,Athlete,0,41666,10,yes
485,1.10E+11,rootmusic,RootMusic,Product/Service,0,20108,12,no
385,1.65E+15,roryfoundation,The Rory Foundation,Nonprofit Organization,0.01,6798,4,yes
13,1.53E+14,RoryMcIlroy,Rory McIlroy,Athlete,0.03,1236495,19574,no
1077,4.31E+14,royhibbert,Roy Hibbert,Athlete,0,406115,93,yes
941,2.06E+14,RudolfGergely,Rudolf Gergely,Athlete,0,47406,12,no
1072,2.02E+11,rudy5.net,Rudy Fernandez,Athlete,0.01,239778,1818,no
322,53080008292,RumbleTheBison,Rumble the Bison,Public Figure,0.01,56114,201,no
728,23136469160,RunnerSpace,RunnerSpace,Shopping & Retail,0.22,144763,615,yes
729,9815486986,RunnersWorld,Runner's World,Magazine,0.74,2100532,49072,no
878,1.16E+14,runralphierun,Colorado Buffaloes Football,School Sports Team,0.2,73631,1637,yes
689,2.04E+14,RussellMartin55,Russell Martin,Athlete,0,132068,55,no
95,58643286604,russellwestbrook,Russell Westbrook,Athlete,0.02,4945099,38179,yes
594,4.09E+14,ryanflynnphotodotcom,Ryan Flynn Photo,Artist,0,683,0,no
1074,74937556107,RyanHollins,Ryan Hollins,Athlete,0.13,40619,73,yes
425,1.26E+14,RyderCupEuropeanTeam,Ryder Cup Team Europe,Sports Team,0.31,351528,29994,no
298,1.58E+11,SacoorBrothers,SACOOR BROTHERS,Clothing (Brand),0.01,307363,92,no
648,4.56E+14,saintarcherbrew,Saint Archer Brewing Company,Brewery,0.02,18539,489,yes
924,2.00E+14,samikhedira1987,Sami Khedira,Athlete,0.01,6695535,2815,no
220,3.14E+14,samsmithworld,SAM SMITH,Musician,0.18,6077635,39349,yes
145,1.14E+14,SamsungMobile,Samsung Mobile,Product/Service,0.03,45160326,366206,no
234,1.27E+14,SamsungUK,Samsung,Computer Company,0.22,159992225,12253,yes
555,7224956785,SamsungUS,Samsung,Electronics Company,0.43,159997828,87893,yes
814,1.13E+11,SANFRANCISCO49ERS,San Francisco 49ers,Sports Team,0.36,4109072,71970,no
282,1.01E+14,santosfc,Santos Futebol Clube,Sports Team,0.67,3536067,82989,no
461,1.66E+15,SaulCaneloAlvarez,Canelo Alvarez,Athlete,0.01,2954639,12039,yes
305,8047221596,savethechildren,Save the Children US,Charity Organization,0.11,1815849,4775,yes
205,7.43E+14,SchneiderlinMo4,Morgan Schneiderlin,Athlete,0,1073242,272,yes
824,84249551721,Seahawks,Seattle Seahawks,Sports Team,0.27,3984534,99086,no
652,17694976543,seanmalto,Sean Malto,Athlete,0.02,1071682,1514,yes
1085,17397744142,seimoneaugustus,Seimone Augustus,Athlete,0,66243,38,no
341,86250194035,SentryTOC,Sentry TOC,Sports Event,0.01,5588,32,yes
5,14185406833,SerenaWilliams,Serena Williams,Athlete,0.02,5358272,19978,yes
370,46652591251,sergio.garcia,Sergio Garcia,Athlete,0,147642,110,yes
927,1.21E+14,SergioRamosOficial,Sergio Ramos,Athlete,0.27,23654032,173052,yes
732,1.19E+14,ShalaneFlanagan,Shalane Flanagan,Athlete,0.03,144326,1262,yes
608,1.41E+14,shanejohnoneill,Shane O'neill,Athlete,0.01,1363481,5592,yes
423,1.18E+14,shanelowrygolf,Shane Lowry,Public Figure,0.01,56253,2079,no
312,1.82E+14,shapefutureok,Shape Your Future,Government Organization,0.05,26984,94,yes
6,65920772679,sharapova,Maria Sharapova,Athlete,0.02,15064080,15749,no
430,22975546034,ShaunWhite,Shaun White,Athlete,0.02,2393473,1621,no
532,3.09E+11,SherwinWilliamsforYourHome,Sherwin-Williams,Product/Service,0.07,497838,3954,yes
63,24142397205,simplesession,Simple Session,Company,0.04,110277,1193,no
41,3.12E+14,SixGunGibson,"Brandon """"Six Gun"""" Gibson",Coach,0.03,9727,664,yes
604,2.34E+11,SkateboardMag,The Berrics,Magazine,0,910558,457,yes
586,2.26E+11,skatemental,Skate Mental,Retail Company,0.01,58204,26,yes
369,1.58E+15,SkratchTV,Skratch,News & Media Website,0.09,237533,77778,no
326,49105077377,skullcandy,Skullcandy,Shopping & Retail,0.13,2156916,5196,yes
526,1.49E+14,SkylarGrey,Skylar Grey,Musician/Band,0,1188340,909,no
356,10911153761,SkySports,Sky Sports,TV Network,1.52,11612243,125073,yes
188,4.03E+11,SoccerAid,Soccer Aid,Nonprofit Organization,0.02,131903,534,yes
650,4.32E+14,socialopsmktg,Social Ops,Product/Service,0,1992,0,yes
313,24540959832,sonicdrivein,Sonic Drive-In,American Restaurant,0.2,4700259,52029,yes
410,1.56E+15,SophiesDublin,Sophie's Dublin,Bar,0.03,14545,118,yes
210,1.58E+15,sorensenthomas1,Thomas Sørensen,Athlete,0,2275,0,yes
1056,8891783019,spartans.msu,Michigan State University,College & University,0.05,488433,5875,yes
1004,69285591618,spencerhawes,Spencer Hawes,Athlete,0,90771,27,yes
373,1.23E+14,SportChangesLifeFoundation,Sport Changes Life,Nonprofit Organization,0.06,4608,276,yes
734,1.47E+14,SportsCenter,SportsCenter,TV Show,0.59,13819119,747612,no
111,14553116366,SportsIllustrated,Sports Illustrated,Media/News Company,1.82,3066336,133471,no
596,10183381196,spottampa,Skatepark of Tampa,Performance & Event Venue,0.06,279872,445,yes
495,9.18E+14,springhillent,SpringHill Entertainment,Company,0.01,1658,3412,yes
316,8389383510,sprint,Sprint,Telecommunication Company,1.18,3608793,30149,yes
556,66681829158,Sprite,Sprite,Food & Beverage Company,0,22715005,2291,yes
777,28977828642,STAFootball,St. Thomas Aquinas Raiders Football,School Sports Team,0.01,8174,466,yes
836,58450998155,stanfordathletics,Stanford Athletics,School Sports Team,0.12,48362,1524,yes
755,1.22E+14,stanfordfootball,Stanford Football,School Sports Team,0.64,100808,11139,yes
675,2.45E+14,stanfordmgolf,Stanford Men's Golf,School Sports Team,0.03,2559,271,yes
804,1.46E+11,steelers,Pittsburgh Steelers,Sports Team,0.39,6453466,84315,no
583,1.10E+15,stefanjanoski,Stefan Janoski,Athlete,0,80052,54,yes
475,3.07E+14,StephenCurryOfficial,Stephen Curry,Athlete,0.26,8189853,10587,yes
241,15082530875,stereophonics,Stereophonics,Musician/Band,0.01,1006245,730,no
917,1.44E+11,stevenjackson39,Steven Jackson,Athlete,0.01,121907,207,yes
896,76695821177,stevesmithwr,Steve Smith,Athlete,0,150675,68,yes
1057,65798051504,StJohnsRedStorm,St. John's Red Storm,School Sports Team,0.01,34396,34,yes
429,6435441794,stjude,St. Jude Children's Research Hospital,Hospital,0.19,2269468,68666,yes
585,2.63E+11,streetleague,Street League Skateboarding,Sports League,0.04,2346068,10312,yes
285,2.14E+15,StrikerForceSeven,Striker Force 7,TV Show,0,7002,127,yes
554,2.87E+14,StVincentStMary,St. Vincent-St. Mary High School,Private School,0.06,4929,1064,yes
965,57501714189,suebird,Sue Bird,Athlete,0.07,95911,430,yes
144,4.81E+14,Sugarpova,Sugarpova,Food & Beverage Company,0.02,121451,456,yes
875,1.24E+14,suh,Ndamukong Suh,Athlete,0.02,229766,353,yes
325,3.22E+11,SunbeamOKC,Sunbeam Family Services,Nonprofit Organization,0.02,4594,26,yes
141,15547656133,supergoop,Supergoop,Health/Beauty,0.03,50795,657,no
524,1.79E+14,SurvivorsRemorse.STARZ,Survivor's Remorse,TV Show,0.01,379677,254,yes
679,1.16E+14,suzannpettersengolf,Suzann Pettersen,Athlete,0,34875,6,yes
497,61775675110,swensonsdrivein,Swensons Drive-In Restaurants,Fast Food Restaurant,0.05,50078,449,yes
954,1.13E+14,SydneyLerouxOfficial,Sydney Leroux,Athlete,0.02,181736,502,yes
453,1.26E+14,SylvesterStallone,Sylvester Stallone,Artist,0,6259726,5645,yes
1080,16973941957,sylviafowles,Sylvia Fowles,Athlete,0,24483,16,no
577,6326544242,tacticsFB,Tactics,Retail Company,0.02,59187,78,yes
146,6466223654,TAGHeuer,TAG Heuer,Jewelry/Watches,0.09,3221173,7116,no
806,95501124594,tampabaybuccaneers,Tampa Bay Buccaneers,Sports Team,0.37,943069,38753,no
665,8103318119,target,Target,Retail Company,1.55,24319028,54748,yes
119,1.02E+16,TarHeels,North Carolina Tar Heels,School Sports Team,0.06,1202791,3776,no
152,6.74E+14,tatelrestaurants,TATEL Restaurants,Spanish Restaurant,0.03,48785,123,no
367,1.20E+11,TaylorMadeGolf,TaylorMade Golf,Sports & Recreation,0.09,559973,8990,yes
1066,1.10E+11,tayshaunprince,Tayshaun Prince,Athlete,0,55346,17,yes
531,1.34E+14,tbakron,Torchbearers,Community Organization,0,1698,77,yes
248,5.96E+14,TCLBrasilOficial,TCL Brasil,Electronics,0.03,42550,59,yes
834,1.62E+14,TCUFootball,TCU Football,School Sports Team,0.23,156131,2545,yes
774,3.97E+14,TDdaily,TD Daily,Recreation & Sports Website,0,1839,0,yes
635,30978521172,teamfox,Team Fox,Nonprofit Organization,0.03,41629,127,yes
469,6.51E+14,TeamKramerFive,Team Kramer,Public Figure,0.09,8592051,50242,yes
478,1.60E+15,TeamSisson,Team Sisson,Public Figure,0,9335,2,yes
746,8062627951,techcrunch,TechCrunch,News & Media Website,0.81,2855022,24528,no
690,2.04E+14,teixeiramark25,Mark Teixeira,Athlete,0,300999,76,no
1075,59445538863,TemekaMeekJohnson,Temeka Johnson - Meek,Athlete,0.01,2352,0,yes
993,74985409115,terrencewilliams,Terrence Williams,Athlete,0,113807,20,yes
868,1.15E+11,TexasLonghorns,Texas Longhorns,College & University,0.12,1571081,53236,no
564,2.02E+15,tgrdesignbytw,TGR Design,Product/Service,0,1342,392,no
566,1.04E+15,TGRFoundation,TGR Foundation,Nonprofit Organization,0.05,9432,1491,no
562,1.81E+15,TGRLiveEvents,TGRLiveEvents,Company,0.02,1379,3397,yes
330,7838864473,thabosefolosha,Thabo Sefolosha,Athlete,0,429139,128,yes
1005,9.42E+14,ThaddeusYoungNets,Thaddeus Young,Athlete,0,20723,9,yes
55,2.78E+11,The.Shadow.Conspiracy,The Official Shadow Conspiracy Fan Page,Sports Team,0.12,219057,676,yes
775,1.72E+14,TheAllenEagles,Allen Eagles,High School,0.01,7192,517,yes
242,69116329538,thebeatles,The Beatles,Musician/Band,0.32,40894048,63433,yes
355,1.39E+15,TheBritishMasters,British Masters,Sports League,0.01,6148,983,yes
366,1.09E+14,thecheekypup,The Cheeky Pup,Pub,0.03,5834,314,yes
692,1.15E+15,thecutch22,Andrew McCutchen,Athlete,0.01,237655,77,yes
436,2.81E+11,TheEuropeanTour,European Tour,Sports League,0.22,392067,14888,no
39,2.25E+14,TheFoxIdentity,The Fox Identity,Artist,0,3796,3,yes
109,2.49E+14,TheJoeJohnson7,The Joe Johnson,Athlete,0,263683,68,yes
547,5.93E+14,TheJuiceSpot,The Juice Spot,Smoothie & Juice Bar,0,11218,3,no
389,1.33E+11,thekclub,The K Club,Spa,0.01,13845,256,no
989,2.86E+14,theLSB,London School of Basketball,Sports League,0.01,25563,21,yes
433,58708608160,TheMasters,Masters Tournament,Company,0.01,713829,333,no
376,71234346825,thememorialtournament,the Memorial Tournament,Golf Course & Country Club,0.02,14681,23,no
616,4.89E+14,TheMichaelJFoxShow,The Michael J. Fox Show,TV Show,0,255118,86,yes
506,4.49E+14,TheMulticulturalCenterAtTheUniversityOfAkron,The Multicultural Center at The University of Akron,Education,0,174,2,no
328,1.91E+11,TheNBPA,NBPA,Labor Union,0,22030,22,no
128,1.17E+11,TheNewYorkPalace,Lotte New York Palace,Hotel,0.01,27957,445,no
397,4.94E+14,thenotoriousmma,Conor McGregor,Athlete,1.07,7650647,88074,yes
359,74827573859,TheNTGolf,THE NORTHERN TRUST,Golf Course & Country Club,0.06,11582,195,yes
874,3.92E+14,TheOfficialGJ,Greg Jennings,Athlete,0.02,208818,357,yes
177,72984569783,The-Open-Championship,The Open,Sports Event,0.04,277463,2900,no
828,1.53E+11,TheOpening,The Opening,Sports & Recreation,0,54031,53,yes
600,1.91E+14,theotisbeasley,Theotis Beasley,Athlete,0,195210,72,yes
938,1.09E+14,TheoWalcott,Theo Walcott,Athlete,0,4306628,1324,no
368,1.55E+11,THEPLAYERS,THE PLAYERS Championship,Golf Course & Country Club,0.05,86449,522,yes
1025,1.00E+14,therealbengordon8,Ben Gordon,Athlete,0,80000,9,no
912,5.40E+14,TheRealChrisJohnson28,Chris Johnson,Athlete,0.05,308730,518,yes
517,3.07E+14,TheUniversityOfAkronSchoolOfMusic,The University of Akron School of Music,College & University,0.01,2130,50,no
419,1.16E+14,TheWestburyHotel,The Westbury,Hotel,0.02,27105,390,yes
257,3.15E+14,ThiagoBrazOficial,Thiago Braz,Athlete,0.01,78138,134,no
216,1.32E+14,ThierryHenry,Thierry Henry,Athlete,0,8190331,3493,yes
677,1.56E+14,ThorbjornOlesenGolf,Thorbjørn Olesen (Official),Athlete,0,15102,68,yes
605,1.31E+11,ThrasherMagazine,Thrasher Magazine,Magazine,0.14,2005912,54909,yes
317,2.76E+14,ThunderstruckOfficial,Thunderstruck,Movie,0,356983,73,no
17,1.65E+11,Tiger,Tiger Woods,Athlete,0.02,3038475,90860,no
456,3.40E+14,TimTebow,Tim Tebow,Athlete,0.02,3159150,44375,no
321,1.09E+14,TinaThompson32,Tina Thompson,Interest,0,11827,6,no
617,30596038768,tinyprints,Tiny Prints,Website,0.01,881993,228,yes
805,56124123850,titans,Tennessee Titans,Sports Team,0.5,939604,48683,yes
407,2.14E+14,TomBrady,Tom Brady,Athlete,0.01,4404312,23420,yes
226,3.20E+14,ToniDuggan100,Toni Duggan,Athlete,0.01,274607,207,no
482,1.15E+14,TopRankBobArum,Bob Arum,Public Figure,0,12478,8,yes
487,98970664527,TopRankJuanManuelLopez,Juan Manuel Lopez,Athlete,0,215995,81,yes
484,1.93E+14,TopRankLuciaMcKelvey,Lucia McKelvey,Public Figure,0,7059,0,yes
15,2.07E+11,TopRankMannyPacquiao,Top Rank Manny Pacquiao Fan Page,Athlete,0.02,6474435,1628,yes
488,2.71E+11,TopRankRobertoMarroquin,Roberto Marroquin,Athlete,0,5220,3,yes
627,11803025909,toryburch,Tory Burch,Company,0.14,2142323,23043,yes
1013,1.30E+11,tp9network,Tony Parker,Athlete,0.01,3125498,1990,no
395,41011222609,TrackManGolf,TrackMan®,Product/Service,0.04,105432,1595,yes
363,29123338521,travelers,Travelers Insurance,Insurance Company,0.09,87125,2149,yes
362,61520028280,travelerschampionship,Travelers Championship,Golf Course & Country Club,0.02,25058,38,yes
492,1.19E+11,trboxing,Top Rank Boxing,Sports Promoter,0.13,955316,11794,yes
705,1.09E+11,treyhardee,Trey Hardee,Athlete,0.01,32275,30,yes
778,1.28E+14,TrinityTrojanFootball,Trinity Trojan Football,School Sports Team,0.09,12125,321,no
194,7550279682,tripleh,"Paul """"Triple H"""" Levesque",Athlete,0.02,12018554,12738,yes
225,5.59E+14,TripleSSportsEntertainment,Triple S Sports & Entertainment Group,Company,0.01,2780,40,no
269,1.00E+14,turmadamonica,Turma da Mônica,Fictional Character,0.04,708365,124796,yes
520,1.80E+11,twomenandatruckakron,TWO MEN AND A TRUCK,Home Mover,0.02,1751,3,yes
642,7.11E+14,tyevans,Ty Evans,Producer,0.01,18373,66,yes
572,5.04E+14,TyLawson3,Ty Lawson,Athlete,0,325564,7816,yes
1113,83730250674,TyrekeEvans,Tyreke Evans,Athlete,0.01,256235,459,yes
1027,3.79E+11,tysonchandler,Tyson Chandler,Athlete,0,775572,313,no
990,90367045628,UAB.Blazers,UAB Athletics,School Sports Team,0.15,30986,1440,yes
505,1.57E+11,UACBA,The University of Akron College of Business Administration,Campus Building,0.03,1945,30,yes
513,5.02E+14,UAkronBands,The University of Akron Bands,College & University,0,767,12,yes
514,1.87E+14,uakroncs,The University of Akron Department of Computer Science,College & University,0,367,0,yes
503,4.29E+14,uakrondesign,The University of Akron Myers School of Art Graphic Design,Art School,0,570,1,yes
509,1.85E+14,UAkronEngr,The University of Akron College of Engineering,College & University,0.01,1598,177,no
512,2.68E+14,uakronlibraries,University Libraries at The University of Akron,College & University,0.01,737,10,yes
507,50413313084,UAkronRec,The University of Akron Student Recreation and Wellness Center,Sports & Fitness Instruction,0.01,2919,15,yes
504,6.37E+14,UAkronSchlComm,The University of Akron School of Communication,College & University,0.01,775,5,yes
508,80837696594,UAkronWayneCollege,The University of Akron Wayne College,Campus Building,0.02,2394,17,no
519,8.77E+14,uanuance,UA Nuance,Musician/Band,0,1813,1,yes
752,2.00E+11,ucffootball,UCF Football,School Sports Team,0.15,54445,18104,yes
754,3.76E+14,ucfknights,UCF Knights,College & University,0.13,190006,9987,yes
858,1.20E+14,uconnhuskies,UConn Huskies,School Sports Team,0.04,212492,619,no
47,46299886275,UFC,UFC,Sports League,0.28,22283018,146338,yes
883,57835779580,UKAthletics,Kentucky Wildcats,School Sports Team,0.38,1047372,43265,yes
1106,1.03E+11,UKCoachCalipari,John Calipari,Coach,0.08,565973,17619,no
259,68793499001,unicef,UNICEF,Nonprofit Organization,0.2,7400297,57552,no
396,6.78E+14,Uninterrupted,UNINTERRUPTED,Entertainment Website,0.04,184982,26050,no
535,87506681775,UniversityofAkron,The University of Akron,College & University,0.04,35529,645,yes
510,1.41E+11,UniversityofAkronAdmissions,The University of Akron Admissions,Education,0,2057,4,yes
1104,6010469068,universityofnortherniowa,University of Northern Iowa,College & University,0.02,75069,1145,yes
763,1.62E+14,UniversityofOregonDuck,University of Oregon Duck,Public Figure,0,95658,3063,no
551,61698633950,UpperDeck,Upper Deck,Retail Company,0.05,69305,1028,yes
99,45502457105,usabasketball,USA Basketball,Sports Team,0.19,4216678,9512,yes
833,1.25E+14,USCTrojans,USC Trojans,School Sports Team,0.09,376819,11531,no
673,1.47E+14,USCTrojansMensGolf,USC Trojans Men's Golf,Amateur Sports Team,0,817,0,yes
353,88356969368,USGA,United States Golf Association - USGA,Nonprofit Organization,0.37,213669,4991,no
26,57460905720,usnikefootball,Nike Football,Community,0,6744231,3108,no
428,62145117495,USOPEN,U.S. Open Championship,Event,0.02,227247,2219,yes
67,76590248793,usopenofsurfing,US Open of Surfing,Arts & Entertainment,0.01,126946,76,yes
791,1.60E+14,usufootball,Utah State Football,School Sports Team,0.15,15401,4315,yes
1054,2.46E+11,UTAustinTX,The University of Texas at Austin,Medical School,0.04,680213,5694,yes
756,2.81E+14,utfootball,Texas Football,School Sports Team,0.02,682703,35421,no
832,55749681514,UWHuskyFootball,Washington Husky Football,Sports & Recreation,0.12,256635,7953,no
671,1.17E+11,UWHuskyMensGolf,Washington Husky Men's Golf,School Sports Team,0,2810,5,no
986,1.02E+14,ValpoBasketball,Valpo Men's Basketball,School Sports Team,0.01,9124,3,no
347,4.38E+14,ValsparChampionship,Valspar Championship,Sports Event,0.01,18906,133,yes
538,1.29E+11,ValueCityFurnitureUSA,Value City Furniture,Furniture Store,0.04,281248,1464,yes
669,19448909409,vanderbiltathletics,Vanderbilt University Athletics,School Sports Team,0.05,107011,1294,yes
658,1.39E+11,VentureTrucks,Venture Trucks,Product/Service,0,340902,522,yes
138,61801828075,VenusWilliams,Venus Williams,Athlete,0.01,2275010,1550,yes
